Date,Open
07/14/2022,1112.61
07/13/2022,1052.19
07/12/2022,1086.27
07/11/2022,1154.64
07/10/2022,1188.43
07/09/2022,1216.88
07/08/2022,1258.67
07/07/2022,1175.89
07/06/2022,1130.41
07/05/2022,1152.87
07/03/2022,1045.69
07/02/2022,1038.14
07/01/2022,1056.78
06/30/2022,1094.02
06/29/2022,1145.24
06/28/2022,1182.70
06/27/2022,1220.12
06/26/2022,1232.99
06/25/2022,1223.46
06/24/2022,1150.49
06/23/2022,1076.58
06/22/2022,1089.32
06/21/2022,1131.06
06/20/2022,1080.51
06/19/2022,952.67
06/18/2022,1079.08
06/17/2022,1071.67
06/16/2022,1209.77
06/15/2022,1171.24
06/14/2022,1172.67
06/13/2022,1349.90
06/12/2022,1450.20
06/11/2022,1673.42
06/10/2022,1786.72
06/09/2022,1794.10
06/08/2022,1824.47
06/07/2022,1740.08
06/06/2022,1867.66
06/05/2022,1792.35
06/04/2022,1754.76
06/03/2022,1831.40
06/02/2022,1831.03
06/01/2022,1929.85
05/31/2022,1994.50
05/30/2022,1795.87
05/29/2022,1777.40
05/28/2022,1764.41
05/27/2022,1768.29
05/26/2022,1948.88
05/25/2022,2013.72
05/24/2022,1987.94
05/23/2022,2030.76
05/22/2022,1974.11
05/21/2022,1967.87
05/20/2022,2023.39
05/19/2022,1953.19
05/18/2022,2040.76
05/17/2022,2073.76
05/16/2022,2075.81
05/15/2022,2014.59
05/14/2022,2055.63
05/13/2022,2095.46
05/12/2022,1977.79
05/11/2022,2360.72
05/10/2022,2304.23
05/09/2022,2457.64
05/08/2022,2545.43
05/07/2022,2668.87
05/06/2022,2744.75
05/05/2022,2941.70
05/04/2022,2798.23
05/03/2022,2847.97
05/02/2022,2841.13
05/01/2022,2777.20
04/30/2022,2818.39
04/29/2022,2924.10
04/28/2022,2883.80
04/27/2022,2835.18
04/26/2022,3000.63
04/25/2022,2876.46
04/24/2022,2956.45
04/23/2022,2947.31
04/22/2022,2994.21
04/21/2022,3096.91
04/20/2022,3091.63
04/19/2022,3038.30
04/18/2022,2995.17
04/17/2022,3039.47
04/16/2022,3037.11
04/15/2022,3041.64
04/14/2022,3118.51
04/13/2022,3049.78
04/12/2022,2981.78
04/11/2022,3174.33
04/10/2022,3258.32
04/09/2022,3209.67
04/08/2022,3267.10
04/07/2022,3188.54
04/06/2022,3338.72
04/05/2022,3523.91
04/04/2022,3490.54
04/03/2022,3455.90
04/02/2022,3469.54
04/01/2022,3250.19
03/31/2022,3396.81
03/30/2022,3384.49
03/29/2022,3368.06
03/28/2022,3311.74
03/27/2022,3143.90
03/26/2022,3108.96
03/25/2022,3132.80
03/24/2022,3016.91
03/23/2022,2948.22
03/22/2022,3006.49
03/21/2022,2843.85
03/20/2022,2932.97
03/19/2022,2948.78
03/18/2022,2778.73
03/17/2022,2775.24
03/16/2022,2690.33
